순번,구분,총톤수,길이,너비,깊이,선질,용도,세부용도,선적항
11481,어선,4.99 ,10.30 ,3.78 ,0.74 ,FRP,연안복합어업,어선(연안복합어업),경북 울릉군 울릉읍
11482,어선,2.26 ,7.71 ,2.40 ,0.76 ,FRP,연안복합어업,어선(연안복합어업),경북 울진군 후포면
11483,어선,2.93 ,8.20 ,2.40 ,0.82 ,FRP,연안복합어업,어선(연안복합어업),경남 거제시 사등면
11484,어선,9.77 ,14.18 ,3.67 ,1.13 ,FRP,연안복합어업,어선(연안복합어업),경남 남해군 창선면
11485,어선,2.82 ,8.10 ,2.40 ,0.77 ,FRP,연안자망어업,어선(연안자망어업),경남 거제시 사등면
11486,어선,197.00 ,41.44 ,7.70 ,3.70 ,강,근해선망어업,어선(대형선망어업),부산시 중구
11487,어선,2.84 ,8.77 ,2.38 ,0.72 ,FRP,연안자망어업,어선(연안자망어업),강원 고성군 거진읍
11488,어선,1.59 ,7.29 ,2.04 ,0.92 ,FRP,이동성구획어업,어선(패류형망어업),강원 삼척시 근덕면
11489,어선,2.46 ,8.55 ,2.32 ,0.69 ,FRP,연안자망어업,어선(연안자망어업),강원 고성군 죽왕면
11490,어선,2.46 ,8.55 ,2.32 ,0.69 ,FRP,연안자망어업,어선(연안자망어업),강원 고성군 죽왕면
11491,어선,44.00 ,21.50 ,5.30 ,2.18 ,FRP,대형기선저인망어업,어선(외끌이대형저인망어업),경남 사천시
11492,어선,44.00 ,21.50 ,5.30 ,2.18 ,FRP,대형기선저인망어업,어선(외끌이대형저인망어업),경남 사천시
11493,어선,9.16 ,12.85 ,3.80 ,1.19 ,FRP,패류양식어업,어선(패류양식어업),경남 남해군 남해읍
11494,어선,2.00 ,8.30 ,2.25 ,0.65 ,FRP,연안복합어업,어선(연안복합어업),강원 속초시
11495,어선,29.00 ,21.93 ,5.00 ,1.57 ,FRP,근해채낚기어업,어선(근해채낚기어업),경북 울진군 죽변면
11496,어선,19.00 ,17.65 ,4.10 ,1.65 ,FRP,어장관리선,어선(어장관리선),제주시 추자면
11497,어선,1.98 ,7.90 ,2.14 ,0.86 ,FRP,마을어업,어선(마을어업),강원 고성군 현내면
11498,어선,29.00 ,19.85 ,4.87 ,1.90 ,FRP,근해채낚기어업,어선(근해채낚기어업),경북 포항시 구룡포읍
11499,어선,3.19 ,9.44 ,2.45 ,0.79 ,FRP,연안자망어업,어선(연안자망어업),강원 강릉시 사천면
11500,어선,2.08 ,8.00 ,2.24 ,0.67 ,FRP,마을어업,어선(마을어업),강원 양양군 현남면
11501,어선,3.20 ,8.81 ,2.49 ,0.82 ,FRP,연안복합어업,어선(연안복합어업),서귀포시 성산읍
11502,어선,9.77 ,13.67 ,3.55 ,1.18 ,FRP,연안복합어업,어선(연안복합어업),강원 고성군 죽왕면
11503,어선,29.00 ,19.80 ,4.80 ,1.90 ,FRP,어획물운반선,어선(어획물운반선),경남 창원시 마산합포구 진동면
11504,어선,29.00 ,19.80 ,4.80 ,1.90 ,FRP,어획물운반선,어선(어획물운반선),경남 창원시 마산합포구 진동면
11505,어선,1.44 ,6.83 ,2.16 ,0.88 ,FRP,연안복합어업,어선(연안복합어업),울산시 울주군
11506,어선,1.41 ,6.27 ,2.04 ,0.96 ,FRP,연안자망어업,어선(연안자망어업),부산시 기장군
11507,어선,0.83 ,5.58 ,1.81 ,0.69 ,FRP,어장관리선,어선(어장관리선),전남 완도군 보길면
11508,어선,4.90 ,10.36 ,2.95 ,0.94 ,FRP,연안통발어업,어선(연안통발어업),경남 창원시 마산합포구 진동면
11509,어선,4.48 ,11.49 ,3.00 ,0.79 ,FRP,어장관리선,어선(어장관리선),경북 포항시 청하면
11510,어선,5.65 ,11.25 ,2.86 ,1.05 ,FRP,연안자망어업,어선(연안자망어업),경북 포항시 호미곶면
11511,어선,2.65 ,8.75 ,3.00 ,0.72 ,FRP,어장관리선,어선(어장관리선),경북 울진군 후포면
11512,어선,2.97 ,8.15 ,3.07 ,0.73 ,FRP,연안복합어업,어선(연안복합어업),전남 여수시 남면
11513,어선,0.85 ,5.79 ,1.65 ,0.81 ,FRP,어장관리선,어선(어장관리선),전남 완도군 약산면
11514,어선,1.25 ,7.80 ,2.06 ,0.60 ,FRP,복합양식어업,어선(복합양식어업),전남 해남군 송지면
11515,어선,1.35 ,7.20 ,1.95 ,0.54 ,FRP,연안복합어업,어선(연안복합어업),전남 영광군
11516,어선,6.30 ,11.00 ,3.34 ,0.95 ,FRP,어장관리선,어선(어장관리선),전남 여수시
11517,어선,4.93 ,9.83 ,3.11 ,1.16 ,FRP,연안자망어업,어선(연안자망어업),경남 거제시
11518,어선,3.90 ,10.13 ,2.78 ,0.83 ,FRP,연안자망어업,어선(연안자망어업),경북 울진군 죽변면
11519,어선,1.02 ,6.26 ,1.81 ,0.78 ,FRP,양식어업,어선(양식어업),전남 해남군 송지면
11520,어선,4.99 ,10.10 ,3.44 ,1.08 ,FRP,연안자망어업,어선(연안자망어업),전남 고흥군 동일면
11521,어선,4.99 ,10.10 ,3.44 ,1.08 ,FRP,연안자망어업,어선(연안자망어업),전남 고흥군 동일면
11522,어선,0.78 ,4.63 ,1.90 ,0.72 ,FRP,어선,어선(어선),전남 진도군 조도면
11523,어선,1.13 ,6.26 ,2.00 ,0.74 ,FRP,어장관리선,어선(어장관리선),전남 완도군 약산면
11524,어선,1.81 ,7.40 ,2.12 ,0.64 ,FRP,연안복합어업,어선(연안복합어업),전남 진도군 임회면
11525,어선,28.00 ,22.51 ,4.80 ,2.20 ,강,기선선인망어업,어선(기선권현망어업),전남 여수시
